tax_date,purchase,sale
2019-04-01,3.306,3.312
2019-04-02,3.309,3.312
2019-04-03,3.298,3.300
2019-04-04,3.295,3.299
2019-04-05,3.295,3.300
2019-04-06,3.295,3.300
2019-04-07,3.295,3.300
2019-04-08,3.289,3.293
2019-04-09,3.290,3.293
2019-04-10,3.293,3.295
2019-04-11,3.296,3.300
2019-04-12,3.291,3.296
2019-04-13,3.291,3.296
2019-04-14,3.291,3.296
2019-04-15,3.295,3.299
2019-04-16,3.294,3.297
2019-04-17,3.294,3.297
2019-04-18,3.294,3.297
2019-04-19,3.294,3.297
2019-04-20,3.294,3.297
2019-04-21,3.294,3.297
2019-04-22,3.302,3.304
2019-04-23,3.308,3.311
2019-04-24,3.320,3.322
2019-04-25,3.329,3.332
2019-04-26,3.317,3.321
2019-04-27,3.317,3.321
2019-04-28,3.317,3.321
2019-04-29,3.314,3.317
2019-04-30,3.306,3.312
2019-05-01,3.306,3.312
2019-05-02,3.313,3.315
2019-05-03,3.300,3.304
2019-05-04,3.300,3.304
2019-05-05,3.300,3.304
2019-05-06,3.306,3.312
2019-05-07,3.312,3.315
2019-05-08,3.313,3.316
2019-05-09,3.321,3.322
2019-05-10,3.314,3.318
2019-05-11,3.314,3.318
2019-05-12,3.314,3.318
2019-05-13,3.329,3.332
2019-05-14,3.321,3.325
2019-05-15,3.320,3.324
2019-05-16,3.314,3.318
2019-05-17,3.321,3.324
2019-05-18,3.321,3.324
2019-05-19,3.321,3.324
2019-05-20,3.336,3.340
2019-05-21,3.344,3.347
2019-05-22,3.344,3.347
2019-05-23,3.347,3.350
2019-05-24,3.341,3.346
2019-05-25,3.341,3.346
2019-05-26,3.341,3.346
2019-05-27,3.344,3.351
2019-05-28,3.353,3.355
2019-05-29,3.354,3.358
2019-05-30,3.358,3.363
2019-05-31,3.367,3.370
2019-06-01,3.367,3.370
2019-06-02,3.367,3.370
2019-06-03,3.372,3.373
2019-06-04,3.348,3.351
2019-06-05,3.351,3.353
2019-06-06,3.335,3.338
2019-06-07,3.331,3.336
2019-06-08,3.331,3.336
2019-06-09,3.331,3.336
2019-06-10,3.332,3.335
2019-06-11,3.329,3.332
2019-06-12,3.329,3.331
2019-06-13,3.329,3.332
2019-06-14,3.333,3.340
2019-06-15,3.333,3.340
2019-06-16,3.333,3.340
2019-06-17,3.345,3.348
2019-06-18,3.335,3.340
2019-06-19,3.333,3.336
2019-06-20,3.309,3.313
2019-06-21,3.302,3.306
2019-06-22,3.302,3.306
2019-06-23,3.302,3.306
2019-06-24,3.297,3.302
2019-06-25,3.295,3.298
2019-06-26,3.297,3.301
2019-06-27,3.290,3.294
2019-06-28,3.285,3.290
2019-06-29,3.285,3.290
2019-06-30,3.285,3.290
2019-07-01,3.288,3.291
2019-07-02,3.288,3.292
